"uuid","key","media_type","value","created_timestamp","last_updated_timestamp","image","image_uuid","column1","id","mediatype","createdtimestamp","lastupdatedtimestamp"
"6d04d752-b7c2-406e-b6dd-b8fd0fcd0ac7",source,,MBARI/VARS,,,"","0463d802-5e43-45cb-8114-e5b9301ed7bd",22,"",text/plain,"",""
"0154aec4-cbfd-4d63-a34a-d22798f2ac71",source,,MBARI/VARS,,,"","04ba3efc-e6a2-4d8e-9b64-16262e0a75a7",23,"",text/plain,"",""
"538fff36-1af5-4cd9-b49c-afd3f2862b18",source,,MBARI/VARS,,,"","04d45bda-34d6-483a-af34-ddc8259370f6",24,"",text/plain,"",""
"4adf264c-4caf-4956-976c-dc624ffb29a1",source,,MBARI/VARS,,,"","04e126f7-02c9-41e5-b38f-ae7121d57459",25,"",text/plain,"",""
df7640e8-70e3-4bac-8df2-25205f7ceee9,source,,MBARI/VARS,,,"","05253653-2c15-4ba3-9d23-7556c9afe17f",26,"",text/plain,"",""
"93603da5-e691-4723-8692-6cb01cad2266",source,,MBARI/VARS,,,"","05d8675d-d36d-4008-8f1e-96c6ba6817ae",28,"",text/plain,"",""
c3564c05-eb88-4fde-8e21-c26acbae8dc7,source,,MBARI/VARS,,,"","05e86f3c-ab9d-4726-9422-54f5806ea52d",29,"",text/plain,"",""
"05c27f06-07fd-44c8-81ff-c83a66f15c02",source,,MBARI/VARS,,,"","06092767-64e4-4bb2-8bd9-18a0c7fb8586",30,"",text/plain,"",""
"8c524e93-7b69-4ad7-a726-037b7b7e1995",source,,MBARI/VARS,,,"","06634556-583b-4a36-b927-940c82417b53",31,"",text/plain,"",""
"8f1fa9c4-00f2-4490-83ea-3af581c0e6f2",source,,MBARI/VARS,,,"","06b46bb6-1032-4adc-b789-0fe928468d96",32,"",text/plain,"",""
a71c29fe-8102-44de-b284-2f0785c9971a,source,,MBARI/VARS,,,"","06cc10c9-2a58-44dd-98d7-c4d195e06818",33,"",text/plain,"",""
